ticker,strategy,target,stop,hold,unit_mul,max_pyr,trail,btc_exit,n,pnl,wr,avg,avg_layers
NVDL,rsi7_80_btc2,100,-30,180,2.0,5,,True,11,13082238,45.5,13.87,2.36
IREN,consec3_btc2_vol,60,-25,60,3.0,1,,False,9,13080372,77.8,48.49,1.0
IREN,max_conviction,100,-30,120,2.0,5,,False,6,13062549,83.3,47.79,2.83
CONL,rsi_accel_btc2_vol,60,-25,60,3.0,3,,False,10,13036809,40.0,13.12,1.7
PTIR,consec3_surge,60,-25,60,3.0,3,,False,10,13007977,50.0,17.08,2.6
IREN,di_cross_surge_btc2,40,-20,30,3.0,1,,False,19,12998754,68.4,22.83,1.0
IREN,mstr_rsi_ret3_btc2,60,-25,60,4.0,1,,False,12,12992757,58.3,27.1,1.0
IREN,bb_macd_adx_btc2,40,-20,30,3.0,1,-10.0,False,26,12986228,57.7,16.67,1.0
CONL,max_conviction,60,-25,60,3.0,3,,False,10,12972999,50.0,18.31,1.8
CONL,consec4_btc1,40,-20,30,5.0,1,,False,11,12971398,63.6,23.61,1.0
IREN,all_green_ultra,50,-20,45,3.0,3,,False,7,12954626,85.7,36.88,1.71
IREN,di_cross_surge_btc2,80,-25,90,3.0,1,,False,11,12914386,63.6,39.17,1.0
PTIR,mstr_rsi_ret3_btc2,80,-25,90,3.0,3,,False,4,12883749,75.0,54.37,2.0
IREN,bb_macd_adx_btc2,40,-20,30,3.0,1,,False,21,12866486,71.4,20.44,1.0
IREN,macd_adx_vol_btc2,60,-25,60,4.0,1,,False,6,12862779,83.3,53.65,1.0
IREN,mstr_over5_ret3_btc,100,-30,180,2.0,5,,True,13,12861224,53.8,20.03,2.0
CONL,bo10_macd_btc2,50,-25,45,5.0,1,,False,14,12854666,50.0,18.38,1.0
PTIR,mstr_rsi_ret3_btc2,100,-30,180,2.0,3,,True,4,12849433,75.0,78.78,2.0
PTIR,mstr_rsi_ret3_btc2,80,-25,120,2.0,5,,True,4,12832685,75.0,69.64,2.5
IREN,bo10_macd_btc2,80,-25,90,2.0,5,,False,10,12832253,60.0,27.65,2.3
IREN,mstr_rsi_ret3_btc2,100,-30,120,2.0,5,,False,8,12807197,62.5,40.95,1.88
CONL,consec3_surge,30,-15,20,5.0,1,,False,25,12795668,48.0,10.25,1.0
IREN,mstr_rsi_ret3_btc2,50,-20,45,3.0,3,,False,13,12792534,53.8,17.23,1.38
PTIR,mstr_over5_ret3_btc,50,-25,45,4.0,1,,False,8,12781258,75.0,39.98,1.0
IREN,rsi_accel_btc2_vol,60,-25,60,3.0,1,,False,11,12767452,72.7,38.73,1.0
CONL,consec3_surge,80,-25,90,2.0,5,,False,12,12743252,33.3,13.34,2.5
IREN,consec3_btc2_vol,80,-25,90,3.0,1,,False,8,12724096,87.5,53.07,1.0
PTIR,bb_macd_adx_btc2,50,-20,45,3.0,3,,False,8,12721442,62.5,23.5,2.25
CONL,di_cross_surge_btc2,60,-25,60,2.0,5,,False,16,12698590,37.5,12.33,2.31
PTIR,mstr_over5_ret3_btc,60,-25,60,2.0,5,,False,6,12688668,66.7,42.78,2.33
IREN,mstr_over5_ret3_btc,60,-25,60,3.0,3,,False,12,12665509,58.3,21.01,1.75
